pattern_id,pattern_name,n_trials,avg_urgency,avg_intensity,avg_confidence
2,AUD002.mp3,2,0.765,0.625,0.65
5,AUD019.mp3,2,0.445,0.36,0.555
8,AUD008.mp3,2,0.475,0.46,0.62
9,AUD020.mp3,2,0.45,0.6,0.725
12,AUD015.mp3,2,0.695,0.605,0.665
1,AUD001.mp3,1,0.6,0.76,0.77
3,AUD012.mp3,1,0.27,0.49,0.63
4,AUD018.mp3,1,0.33,0.56,0.43
6,AUD017.mp3,1,0.64,0.3,0.6
7,AUD014.mp3,1,0.12,0.29,0.6
10,AUD009.mp3,1,0.95,0.86,0.87
11,AUD004.mp3,1,0.23,0.25,0.83
13,AUD013.mp3,1,0.35,0.34,0.72
14,AUD010.mp3,1,0.72,0.43,0.13
15,AUD007.mp3,1,0.32,0.4,0.45
